,ID2,ID1,soporte,confianza,lift
0,"('-2.1279984',)","('-79.8929139',)",0.07692307692307693,1.0,13.0
1,"('-2.1280216',)","('-79.8929653',)",0.07692307692307693,1.0,13.0
2,"('-2.17868272',)","('-79.90002814',)",0.07692307692307693,1.0,13.0
3,"('-2.178713',)","('-79.9002536',)",0.07692307692307693,1.0,13.0
4,"('-2.1787292',)","('-79.9002762',)",0.07692307692307693,1.0,13.0
5,"('-2.1788177',)","('-79.9001221',)",0.15384615384615385,1.0,6.5
6,"('-2.1788191',)","('-79.9000392',)",0.07692307692307693,1.0,13.0
7,"('-2.1788446',)","('-79.900248',)",0.15384615384615385,1.0,6.5
8,"('-2.1788564',)","('-79.9002383',)",0.07692307692307693,1.0,13.0
9,"('-2.178858',)","('-79.9001738',)",0.07692307692307693,1.0,13.0
10,"('-2.1788673',)","('-79.900229',)",0.07692307692307693,1.0,13.0
