coordenadas,id_trayectoria
"(-79.900264,-2.1787492)",574
"(-79.9000392,-2.1788191)",617
"(-79.9002992,-2.1785922)",646
"(-79.924256,-2.193836)",371
"(-79.855034,-2.075132)",206
"(-79.8970839,-2.1824209)",335
"(-79.871252,-2.111542)",223
"(-79.868077,-2.123245)",452
"(-79.8804441,-2.1891804)",533
"(-79.922095,-2.166463)",352
"(-79.841009,-2.072269)",227
"(-79.895094,-2.166914)",130
"(-79.873964,-2.099922)",452
"(-79.892075,-2.164394)",204
"(-79.86641,-2.122282)",318
"(-79.9001503,-2.1788022)",621
"(-79.88454,-2.12845)",206
"(-79.895202,-2.167784)",67
"(-79.884935,-2.128701)",219
"(-79.873825,-2.100794)",195
"(-79.900462,-2.241505)",346
"(-79.84031,-2.072289)",384
"(-79.9002536,-2.178713)",627
"(-79.879432,-2.126405)",148
"(-79.9002992,-2.1785922)",641
"(-79.833455,-2.06802)",187
"(-79.832895,-2.068292)",141
"(-79.873885,-2.07604)",173
"(-79.833612,-2.067682)",173
"(-79.9001776,-2.1787473)",581
"(-79.9002404,-2.1788559)",577
"(-79.83474,-2.07252)",138
"(-79.873685,-2.08271)",205
"(-80.193007,-2.285484)",393
"(-79.894475,-2.13188)",186
"(-79.842062,-2.072182)",154
"(-79.899158,-2.190172)",488
"(-79.897064,-2.180256)",482
"(-79.877567,-2.126104)",393
"(-79.9001221,-2.1788177)",591
"(-79.866444,-2.122337)",158
"(-79.884904,-2.128685)",137
"(-79.9002992,-2.1785922)",640
"(-79.873645,-2.083605)",451
"(-79.873697,-2.101605)",144
"(-79.87016,-2.020807)",494
"(-79.90002814,-2.17868272)",624
"(-79.9001738,-2.178858)",579
"(-79.91792,-2.09612)",464
"(-79.895094,-2.166914)",209
"(-79.887657,-2.156872)",190
"(-79.895677,-2.132152)",182
"(-79.893625,-2.16782)",170
"(-79.842954,-2.072532)",68
"(-79.94582,-2.141857)",391
"(-2.1471,-79.917)",529
"(-79.895402,-2.16335)",409
