coordenadas,id_trayectoria
"(-79.86533,-2.0742)",159
"(-79.872649,-2.106579)",435
"(-79.869137,-2.11553)",136
"(-79.89509,-2.166879)",206
"(-79.873782,-2.079609)",168
"(-79.875509,-2.154255)",70
"(-79.88558,-2.146514)",62
"(-79.835755,-2.073231)",163
"(-79.89521,-2.131439)",129
"(-79.871652,-2.110554)",147
"(-79.873897,-2.075037)",168
"(-79.871091,-2.112145)",158
"(-79.850329,-2.074429)",172
"(-79.834597,-2.071852)",26
"(-79.890786,-2.047277)",392
"(-79.868229,-2.117125)",183
"(-79.842469,-2.072432)",195
"(-79.884985,-2.128729)",181
"(-79.873874,-2.095807)",150
"(-79.873982,-2.095679)",145
"(-79.873674,-2.083109)",438
"(-79.865775,-2.121782)",446
"(-79.872574,-2.106865)",203
"(-79.881944,-2.137279)",149
"(-79.886294,-2.151892)",328
"(-79.956855,-2.185832)",391
"(-79.866035,-2.121181)",193
"(-79.845464,-2.073794)",202
"(-79.89516,-2.165004)",205
"(-79.895444,-2.16367)",220
"(-79.886449,-2.150994)",221
"(-79.88372,-2.12779)",149
"(-79.885184,-2.145275)",182
"(-79.893169,-2.166832)",148
"(-79.898154,-2.201172)",341
"(-79.884555,-2.128501)",68
"(-79.882817,-2.140857)",451
"(-79.848182,-2.074074)",58
"(-79.877312,-2.126122)",158
"(-79.882449,-2.140022)",328
"(-79.883472,-2.12758)",220
"(-79.868197,-2.073782)",179
"(-79.886357,-2.147955)",205
"(-79.85627,-2.074531)",173
"(-79.85557,-2.074821)",453
"(-79.840105,-2.0723)",454
"(-79.853387,-2.075829)",156
"(-79.862862,-2.07467)",65
"(-79.895782,-2.16387)",206
"(-79.887234,-2.156079)",135
"(-79.893252,-2.167702)",215
"(-79.873654,-2.083455)",154
"(-79.917584,-2.054387)",392
"(-79.887339,-2.156287)",156
"(-79.86655,-2.120189)",202
"(-79.867769,-2.118034)",122
"(-79.879742,-2.126449)",168
"(-79.893567,-2.132187)",170
"(-79.889425,-2.131867)",150
"(-79.884994,-2.129062)",180
"(-79.870507,-2.113276)",222
"(-79.872912,-2.105359)",184
"(-79.87367,-2.083282)",222
"(-79.895377,-2.164594)",150
"(-79.89451,-2.192025)",340
"(-79.88509,-2.128772)",167
"(-79.840617,-2.072324)",68
"(-79.895032,-2.165424)",452
"(-79.906034,-2.21992)",361
"(-79.850315,-2.074422)",134
"(-79.887234,-2.156079)",193
"(-79.88287,-2.140949)",199
"(-79.881382,-2.126662)",224
"(-79.832402,-2.068402)",154
"(-79.882242,-2.1331)",193
"(-79.891899,-2.131834)",225
"(-79.881214,-2.126647)",407
"(-79.865785,-2.121944)",221
"(-79.88372,-2.12779)",203
"(-79.892462,-2.128069)",438
"(-79.834124,-2.070579)",146
"(-79.874244,-2.12571)",213
"(-79.836437,-2.07294)",142
"(-79.873159,-2.104245)",162
"(-79.883779,-2.142615)",213
"(-79.83355,-2.06796)",213
"(-79.832295,-2.068402)",178
"(-79.83659,-2.072739)",186
"(-79.885947,-2.128952)",157
"(-79.883669,-2.127749)",179
"(-79.873639,-2.089752)",393
"(-79.884985,-2.128729)",136
"(-79.872621,-2.106412)",224
"(-79.842042,-2.072165)",26
"(-79.892937,-2.186905)",360
"(-79.893815,-2.167842)",154
"(-79.94875,-2.8498484)",261
"(-79.846579,-2.073915)",125
"(-80.370416,-2.403574)",393
"(-79.884174,-2.143307)",452
"(-79.873179,-2.073077)",222
"(-79.885765,-2.129512)",201
"(-79.873667,-2.073074)",385
"(-79.872312,-2.107769)",166
"(-79.867134,-2.11926)",143
"(-79.838424,-2.072492)",191
"(-80.235884,-2.299575)",394
"(-79.841229,-2.072235)",122
"(-79.927891,-2.161034)",386
"(-79.886325,-2.148025)",441
"(-79.86669,-2.122455)",129
"(-79.853387,-2.075829)",124
"(-79.833677,-2.068487)",180
"(-79.96608,-2.186005)",392
"(-79.86917,-2.12396)",170
"(-79.886475,-2.148561)",177
"(-79.88509,-2.128772)",206
"(-79.881952,-2.136762)",407
"(-79.883854,-2.13181)",222
"(-79.87385,-2.074427)",208
"(-79.833005,-2.067917)",127
"(-79.873472,-2.102944)",149
"(-79.913124,-2.197292)",340
"(-79.874062,-2.097447)",161
"(-79.86303,-2.074525)",121
"(-79.873572,-2.102549)",156
"(-79.885944,-2.14673)",146
"(-79.900049,-2.244382)",347
"(-79.932615,-2.128763)",387
"(-79.888232,-2.157835)",138
"(-79.86778,-2.123154)",407
"(-79.873685,-2.082905)",224
"(-79.872607,-2.106379)",438
"(-79.882809,-2.122344)",451
"(-79.89153,-2.16357)",192
"(-79.895857,-2.131992)",223
"(-79.873572,-2.08677)",150
"(-79.870882,-2.073392)",158
"(-79.831795,-2.06849)",164
"(-79.886264,-2.154099)",217
"(-79.832295,-2.068402)",129
"(-79.912152,-2.197553)",340
"(-79.850315,-2.074422)",160
"(-79.893254,-2.167484)",168
"(-79.865785,-2.121944)",170
"(-79.895697,-2.13215)",159
"(-79.90799,-2.238849)",375
"(-79.895064,-2.16528)",199
"(-79.845562,-2.073767)",390
"(-79.834755,-2.073022)",127
"(-79.853037,-2.07585)",222
"(-79.868765,-2.123679)",222
"(-79.887562,-2.156684)",175
"(-79.873772,-2.073817)",26
"(-79.895087,-2.167916)",218
"(-79.890214,-2.050762)",392
"(-79.837844,-2.072606)",124
"(-79.872849,-2.105642)",213
"(-79.866787,-2.11988)",201
"(-79.895449,-2.163469)",68
"(-79.867039,-2.122685)",158
"(-79.873595,-2.0861)",184
"(-79.895449,-2.163457)",224
"(-79.869137,-2.11553)",153
"(-79.886517,-2.150357)",452
"(-79.873839,-2.077502)",126
"(-79.841304,-2.072215)",159
"(-80.27897,-2.347174)",393
"(-79.894961,-2.165824)",410
"(-79.882224,-2.133529)",167
"(-79.89517,-2.132479)",222
"(-79.886262,-2.154309)",452
"(-79.873392,-2.103109)",451
"(-79.88745,-2.156492)",185
"(-79.885587,-2.145959)",68
"(-79.89509,-2.166884)",182
"(-79.916461,-2.196451)",341
"(-79.884499,-2.128419)",187
"(-79.873829,-2.07414)",217
"(-79.885241,-2.12881)",218
"(-79.894624,-2.166834)",451
"(-79.87375,-2.081027)",183
"(-79.893254,-2.166869)",22
"(-79.856469,-2.074506)",454
"(-79.89267,-2.16684)",195
"(-79.882457,-2.129149)",319
"(-79.88432,-2.128287)",170
"(-79.904261,-2.140476)",41
"(-79.882859,-2.14093)",452
"(-79.895485,-2.163477)",38
"(-80.091574,-2.22331)",394
"(-79.832549,-2.068957)",328
"(-79.872417,-2.107412)",177
"(-79.895614,-2.132224)",139
"(-79.908102,-2.111547)",382
"(-79.88796,-2.157434)",221
"(-79.841304,-2.072215)",171
"(-79.89153,-2.16357)",169
"(-79.883089,-2.141332)",452
"(-79.840255,-2.072332)",34
"(-79.896447,-2.181997)",331
"(-79.894584,-2.166832)",452
"(-79.845917,-2.073809)",390
"(-79.87365,-2.084691)",454
"(-79.87275,-2.073162)",445
"(-79.83638,-2.073004)",195
"(-79.895614,-2.132224)",165
"(-79.901594,-2.238934)",375
"(-79.893035,-2.16683)",142
"(-79.874082,-2.098567)",211
"(-79.872325,-2.073207)",190
"(-79.873762,-2.091422)",197
"(-79.8943,-2.13088)",193
"(-79.873899,-2.076144)",435
"(-79.873942,-2.100606)",153
"(-79.895647,-2.163774)",170
"(-79.886254,-2.152014)",26
"(-79.887072,-2.155971)",61
"(-79.878784,-2.12632)",178
"(-79.867527,-2.118414)",125
"(-79.884892,-2.128679)",208
"(-79.870745,-2.073419)",170
"(-79.917447,-2.171252)",351
"(-79.873774,-2.078919)",452
"(-79.886449,-2.150994)",125
"(-79.869346,-2.115197)",150
"(-79.894287,-2.131164)",195
"(-79.839737,-2.072264)",318
"(-79.883819,-2.142772)",58
"(-79.8862,-2.14738)",186
"(-79.888757,-2.158707)",213
"(-79.899176,-2.148195)",366
"(-79.873254,-2.103774)",152
"(-79.86917,-2.12396)",201
"(-79.853387,-2.075829)",195
"(-79.845342,-2.073734)",390
"(-79.891705,-2.163965)",452
"(-79.867817,-2.117985)",216
"(-79.83659,-2.072739)",152
"(-79.89547,-2.163479)",147
"(-79.896627,-2.138077)",393
"(-79.872567,-2.106647)",394
"(-79.874052,-2.096922)",192
"(-79.849024,-2.074179)",188
"(-79.869074,-2.123867)",163
"(-79.895306,-2.132415)",176
"(-79.892052,-2.164419)",451
"(-79.865792,-2.12169)",445
"(-79.920395,-2.195445)",341
"(-79.845705,-2.073834)",162
"(-79.86895,-2.115927)",441
"(-79.850329,-2.074429)",222
"(-79.873982,-2.095679)",143
"(-79.958959,-2.187072)",392
"(-79.873589,-2.086364)",436
"(-79.895112,-2.165134)",123
"(-79.895327,-2.164699)",180
"(-79.832899,-2.068011)",208
"(-79.872504,-2.107126)",194
"(-79.884325,-2.143649)",227
"(-79.879117,-2.126364)",207
"(-79.892676,-2.186245)",371
"(-79.868434,-2.116895)",163
"(-79.844514,-2.073464)",170
"(-79.939687,-2.224761)",341
"(-79.873754,-2.08088)",227
"(-79.83659,-2.072739)",139
"(-79.857744,-2.075279)",173
"(-79.955523,-2.087388)",365
"(-79.884945,-2.12871)",182
"(-79.885187,-2.129087)",197
"(-79.886449,-2.150994)",180
"(-79.86998,-2.073525)",132
"(-79.868282,-2.117135)",219
"(-79.886227,-2.152044)",451
"(-79.873732,-2.091267)",452
"(-79.889797,-2.132687)",148
"(-79.91799,-2.170859)",386
"(-79.843802,-2.072897)",390
"(-79.833052,-2.067914)",69
"(-79.871545,-2.1109)",145
"(-79.869327,-2.073614)",151
"(-79.922704,-2.194908)",341
"(-79.871582,-2.110599)",164
"(-79.831842,-2.068549)",185
"(-79.882959,-2.119512)",442
"(-79.870662,-2.113)",182
"(-79.856652,-2.074784)",34
"(-79.8819,-2.136029)",66
"(-79.873714,-2.082087)",162
"(-79.873472,-2.102944)",170
"(-79.833979,-2.070257)",149
"(-79.893189,-2.132259)",163
"(-79.895482,-2.163465)",179
"(-79.885362,-2.128814)",188
"(-79.895075,-2.166875)",26
"(-79.86915,-2.115652)",150
"(-79.872174,-2.125417)",227
"(-79.889972,-2.160827)",203
