coordenadas,id_trayectoria
"(-79.871252,-2.111542)",170
"(-79.882502,-2.127469)",318
"(-79.89566,-2.132137)",181
"(-79.873652,-2.083442)",170
"(-79.907266,-2.147914)",374
"(-79.884535,-2.128444)",159
"(-79.855599,-2.074837)",184
"(-79.860169,-2.075569)",154
"(-79.873744,-2.08132)",199
"(-79.876144,-2.125934)",193
"(-79.859266,-2.075855)",204
"(-79.945814,-2.143732)",391
"(-79.875375,-2.125867)",128
"(-79.87401,-2.099289)",393
"(-79.85852,-2.075842)",439
"(-79.895497,-2.163477)",145
"(-79.865747,-2.074144)",153
"(-79.841009,-2.072269)",144
"(-79.87358,-2.08781)",130
"(-79.889972,-2.160827)",210
"(-79.893122,-2.186216)",341
"(-79.88227,-2.131762)",319
"(-79.885979,-2.128982)",159
"(-79.895634,-2.132144)",220
"(-79.833675,-2.068714)",170
"(-79.852352,-2.075757)",220
"(-79.872377,-2.073195)",213
"(-79.870745,-2.073419)",157
"(-79.87335,-2.073049)",212
"(-79.844257,-2.073219)",319
"(-79.873907,-2.096021)",133
"(-79.835995,-2.07316)",134
"(-79.94875,-2.8498484)",262
"(-79.881382,-2.126662)",152
"(-79.871129,-2.11185)",222
"(-79.894202,-2.131771)",144
"(-79.871324,-2.111545)",139
"(-79.89417,-2.131482)",222
"(-79.872171,-2.108262)",58
"(-79.893254,-2.166869)",196
"(-79.861459,-2.075059)",222
"(-79.870444,-2.07346)",227
"(-79.873895,-2.097532)",34
"(-79.885032,-2.128752)",146
"(-79.895491,-2.163472)",151
"(-79.882999,-2.14119)",214
"(-79.89418,-2.131822)",160
"(-79.886542,-2.149144)",126
"(-79.837844,-2.072606)",182
"(-79.884715,-2.128565)",224
"(-79.892057,-2.131662)",152
"(-79.89572,-2.132154)",133
"(-79.895444,-2.16345)",177
"(-79.873872,-2.125662)",218
"(-79.886475,-2.148565)",410
"(-79.877065,-2.126029)",318
"(-79.87369,-2.082456)",393
"(-79.872542,-2.153535)",70
