id,latitud,longitud
1,-2.178967,-79.899857
1,-2.178892,-79.899849
1,-2.179209,-79.89914
1,-2.179559,-79.898514
1,-2.179709,-79.898247
1,-2.179781,-79.898087
1,-2.17996,-79.897675
1,-2.179973,-79.897645
1,-2.18168,-79.896493
1,-2.181969,-79.896363
1,-2.18185,-79.896256
1,-2.182858,-79.895829
1,-2.182987,-79.895775
1,-2.183584,-79.895524
1,-2.183619,-79.895508
1,-2.183893,-79.895386
1,-2.180228,-79.897118
1,-2.180311,-79.896973
1,-2.180371,-79.896935
1,-2.180429,-79.896897
1,-2.180677,-79.896752
1,-2.180966,-79.896637
1,-2.18185,-79.896256
1,-2.181969,-79.896363
1,-2.18168,-79.896493
1,-2.181572,-79.896538
